,1 (2),1,7,2(3),3(5),5,6(8),7(9),8(10),13(19),20,14(21),4,017(1bis),11,018(2bis),0151160008,0151170003,0151540065,0151810001,0151820106,0152130021,PO012004NU0001,PO1202602103T0,PO1202602103T0,PO012026NU3021,PO012034NU0006,PO012070NU0009,PO012070NU1022,PO0120750R2020,PO012136NU0001
2001-05-01,,,,,,,,,,,,,,,,,161.8,121.2,155.1,142.45,131.49,164.0,360.38,,177.93,,169.7,,203.3,187.25,
2001-06-01,,,,,,,,227.8,285.6,,,,190.12,,,,162.0,121.5,155.0,142.25,132.29,164.3,360.02,,178.3,,169.93,215.2,203.1,187.35,
2001-07-01,,,,,,,,,,,,,,,,,162.0,120.9,155.5,142.25,132.79,165.0,360.12,,177.73,,170.17,211.67,201.93,187.45,
2001-08-01,,,,,,,,,,,,,,,,,162.3,121.2,155.4,142.05,133.29,165.0,360.0,,177.63,,170.42,210.69,204.68,187.63,
2001-09-01,224.3,,,188.85,198.5,,274.0,229.2,284.0,361.2,,310.7,,186.8,200.1,216.8,162.0,120.1,156.7,141.75,132.89,166.3,360.22,,177.62,,170.53,210.1,203.7,187.67,
2001-10-01,223.7,224.1,,,197.9,,,229.2,284.6,,,,190.3,186.7,199.6,217.0,,119.4,156.0,141.15,,166.7,360.18,,177.28,,170.38,209.9,203.5,187.65,
2001-11-01,224.0,223.9,262.7,195.4,,,273.8,,284.3,361.0,,309.7,,,,,161.6,,,,131.99,,360.05,,177.43,,170.3,209.9,203.89,187.59,
2001-12-01,224.6,224.0,263.86,195.4,,,,,285.14,360.6,,308.2,,,,,,,,,,,359.86,,177.15,,170.27,209.9,203.5,187.53,
2002-01-01,,,,,,,,,,,,,,,,,162.0,117.9,155.0,140.75,130.59,166.0,359.34,,177.03,,170.02,209.51,203.89,187.3,281.14
2002-02-01,225.9,,,,197.9,230.06,284.7,228.5,282.63,361.82,,308.47,,187.0,,216.6,162.2,117.4,154.5,140.35,131.19,165.0,359.13,,176.83,,170.1,209.51,203.7,187.25,281.12
2002-03-01,226.0,,,192.41,197.5,230.05,284.71,228.6,283.69,362.44,,308.3,,,,,161.9,117.5,154.2,140.25,130.79,164.6,359.09,,176.68,,169.8,209.31,203.11,187.21,281.53
2002-04-01,226.0,,,192.41,197.2,229.81,284.2,228.4,284.0,363.98,,308.32,,185.2,,216.6,161.4,,,,130.59,,359.17,,176.65,,169.88,209.31,203.11,187.16,280.7
2002-05-01,226.1,,,192.34,197.1,229.82,286.69,228.4,286.43,363.86,,309.85,,185.1,,216.8,161.8,,154.3,,131.29,,359.59,,176.83,,170.16,,202.52,187.34,281.05
2002-06-01,,,,192.31,,230.01,286.95,,286.03,363.04,,310.17,,185.1,,216.7,162.9,,155.0,180.25,131.79,,359.64,,177.06,,170.3,209.51,201.15,187.5,281.24
2002-07-01,,,,192.78,,229.97,285.32,,285.41,362.84,,310.2,,,,,,,,,,,359.7,,176.93,,170.3,207.57,201.54,187.59,281.23
2002-08-01,226.8,,,193.06,,229.79,,,284.45,362.44,,310.07,,,,,163.4,,156.0,180.25,133.29,208.0,359.63,,177.13,,170.9,211.67,203.5,187.7,281.31
2002-09-01,226.6,,,193.16,,229.93,,,284.37,363.19,,,,,,,163.5,117.0,156.4,142.75,133.29,166.9,359.78,,177.32,,171.23,209.9,202.91,187.79,281.47
2002-10-01,226.5,,,187.18,197.2,229.55,,230.3,283.53,362.59,,309.85,,186.8,,217.6,162.9,117.2,155.9,142.7,132.59,166.8,359.83,,177.13,,171.07,210.1,202.13,187.75,281.35
2002-11-01,,,,187.18,199.5,230.15,288.45,228.3,290.53,,,312.5,,189.0,,220.3,162.5,117.85,155.6,143.1,132.19,167.8,359.65,,177.43,,171.59,210.61,201.68,188.15,282.05
2002-12-01,226.5,,,187.96,199.6,230.81,286.92,228.2,288.73,364.04,,313.45,,188.9,,220.3,162.1,118.25,155.85,143.6,131.89,167.5,359.96,,178.73,,171.79,211.47,201.9,188.57,282.62
2003-01-01,227.8,,,189.16,199.8,231.18,,228.1,286.69,363.22,,312.98,,189.0,,220.5,161.9,,156.2,144.2,132.39,168.5,360.18,,,180.03,172.46,211.67,203.11,189.17,282.62
2003-02-01,227.6,,,189.58,199.9,231.6,,228.1,285.13,362.87,,312.35,,188.9,,220.5,161.7,,155.9,144.85,132.19,169.15,359.88,,,177.1,172.3,211.47,203.3,188.38,282.06
2003-03-01,228.5,,,189.48,199.5,231.67,,228.4,283.93,362.54,,311.6,,188.9,,220.4,161.4,128.7,155.6,144.6,131.69,169.1,359.79,,,177.4,172.41,210.94,202.83,189.52,281.84
2003-04-01,228.0,,,189.27,199.48,231.9,,228.6,282.97,,,310.88,,188.95,,220.5,161.2,,155.6,144.3,131.39,168.65,359.75,,,177.35,172.59,210.88,203.5,189.54,281.85
2003-05-01,,,,,199.3,231.75,,228.6,283.52,,,311.77,,188.95,,220.4,160.9,,155.3,143.7,131.29,169.2,359.61,,,177.1,172.08,212.06,202.72,189.48,281.2
2003-06-01,228.1,,,188.48,197.8,231.38,,226.9,282.6,,,311.09,,187.45,,218.9,162.6,128.2,155.8,143.4,132.59,169.2,359.33,,,176.83,172.07,210.81,201.93,189.39,280.54
2003-07-01,,,,188.4,,231.14,,,,,,,,,,,,119.2,,143.0,,168.9,359.31,,,176.5,172.05,209.9,202.91,189.2,280.91
2003-08-01,,,,188.07,,230.63,,,,361.75,,,,,,,162.5,117.95,156.3,142.85,132.59,168.4,359.31,,,174.9,172.33,211.48,203.5,188.98,280.81
