CODICE,start,end,tag
PO012002NU0008,2001-05-01,2003-02-01,PTUA2003
PO012026NU3021,2001-05-01/2001-05-01,2003-02-01/2003-08-01,PTUA2003/OLONA
PO0121180U0005,2001-08-01,2003-02-01,PTUA2003
PO013143NUP001,2001-06-01,2001-11-01,PTUA2003
PO015019NR0001,1996-01-01,2003-03-01,PTUA2003
PO0151080U0002,1996-01-01,2002-03-01,PTUA2003
PO015146NU1120,2002-01-01/1952-01-01,2003-04-01/2018-01-01,PTUA2003/Milano1950
PO015146NU1313,2002-01-01/1996-01-01/1952-04-01,2003-04-01/2006-08-01/2018-01-01,PTUA2003/Idroscalo2005/Milano1950
PO015146NU1353,2005-03-01/1954-01-01,2006-03-01/2018-01-01,Idroscalo2005/Milano1950
PO015146NU1534,2002-01-01/1959-01-01,2003-04-01/2018-01-01,PTUA2003/Milano1950
PO015146NU1536,1952-01-01,2018-01-01,Milano1950
PO015146NU1557,1997-04-01/1950-07-01,2006-08-01/2018-01-01,Idroscalo2005/Milano1950
PO0151810U0001,1996-01-01/2001-05-01,2003-03-01/2003-08-01,PTUA2003/OLONA
PO0152060U0004,1999-01-01,2003-03-01,PTUA2003
PO0152210U0001,1996-01-01,2003-03-01,PTUA2003
PO0152490U0002,1999-01-01,2002-08-01,PTUA2003
PO108023NU0003,1996-01-01,2003-03-01,PTUA2003
FOG14,1950-07-01,2017-12-01,Milano1950
FOG16,1950-07-01,2014-09-01,Milano1950
FOG24,1952-01-01,2017-12-01,Milano1950
FOG27,1952-01-01,2016-05-01,Milano1950
FOG34,1952-01-01,2017-12-01,Milano1950
FOG41,1952-01-01,2017-12-01,Milano1950
FOG56,1954-01-01,2017-12-01,Milano1950
FOG72,1954-07-01,2017-12-01,Milano1950
VA.PS.002,2009-09-01,2022-03-01,SSGiovanni
CM.PS.002,2009-09-01,2022-07-01,SSGiovanni
UN.PS.001,2009-09-01,2022-07-01,SSGiovanni
UN.PS.003,2009-09-01,2022-07-01,SSGiovanni
