,CODICE,COMUNE,X_WGS84,Y_WGS84
32,PO0130230U0003,BINAGO,492805.0,5069886.0
35,PO0130280U0009,BREGNANO,503950.0,5061917.0
38,PO013064NU0002,CERMENATE,506428.0,5061507.0
42,PO0970480U0001,MERATE,530989.0,5061279.0
49,PO0970200U0003,CERNUSCO LOMBARDONE,530490.0,5059489.0
52,PO012026NU3021,BUSTO ARSIZIO,486383.0,5048270.0
53,PO0120750R2020,GERENZANO,498243.0,5052530.0
54,PO012090NU2009,LONATE POZZOLO,477623.0,5050127.0
55,PO0121180U0005,SAMARATE,481042.0,5052887.0
78,PO015146NU1534,MILANO,510123.0,5040197.0
