CODICE,lon,lat,CODICE_nrst,lon_nrst,lat_nrst,dist
1 (2),8.948267971933412,45.68030470423241,PO0131590U0001,8.9480849539333,45.680174545192166,20.31228582921721
11(15),9.19206952130495,45.73254840608509,PO013029NU0003,9.191725416485538,45.73295023124814,52.0767634597036
12,9.30169645322124,45.160105948702245,PO0180130U0005,9.302361053940158,45.160620352830435,77.45207782081043
13(19),8.907638275624832,45.78270578651787,PO0130230U0003,8.907442131473825,45.782496602020025,27.80717723924316
0150150001,9.163939142548656,45.34959480978027,PO0150150U0001,9.164282389726978,45.34952935902273,27.865078842288977
0150190001,8.827766726131577,45.493959095725316,PO015019NR0001,8.827299185110007,45.493978163383666,36.60739430213396
0151000003,9.208657521966721,45.62059581678018,PO108023NU0003,9.208581900085925,45.62063500742705,7.331941786989871
0151080002,9.410440432584018,45.533011445791495,PO0151080U0002,9.410457803668589,45.53302119623268,1.736531738590081
0151390001,9.4454311797036,45.62899145982945,PO1080310U0001,9.445321958810915,45.629057420293165,11.23761950539103
0151461120,9.173987399996765,45.45861951458551,PO015146NU1120,9.173999779020887,45.45861958137727,0.9682574826626146
0151461313,9.25239840695337,45.494783447352305,PO015146NU1313,9.25278311987484,45.49466612435916,32.7766034995824
0151461379,9.239914080734282,45.41786046009212,PO015146NU1379,9.239900862531567,45.41761657687625,27.12490481076977
0151461435,9.126644445835314,45.43838431460521,PO015146NU1435,9.126093314466248,45.43842076992926,43.31222808875552
0151461534,9.129581307012781,45.51506957155068,PO015146NU1534,9.129606368874434,45.51523284574417,18.251950568357262
0151810001,8.950905154474167,45.61640068645765,PO0151810U0001,8.950106488910535,45.61611603135312,69.86722294101628
0152060004,9.131969808931613,45.57851413062432,PO0152060U0004,9.1319438897114,45.57860664614248,10.479571521551675
0152100004,9.394797724531145,45.43139127523716,PO0152100U0004,9.395212037017748,45.43162280811389,41.39196887817292
0152210001,9.51960436100059,45.61199993978647,PO0152210U0001,9.519559768178949,45.6119661346521,5.120141378356678
0152350001,8.982042406562432,45.39182698785592,PO0152350U0001,8.982025182520488,45.39188937814272,7.063981715940285
0152490004,8.77363091745715,45.57361257625856,PO0152490U0002,8.773558840213552,45.57378689030802,20.17414474386003
0152490020,8.77363091745715,45.57361257625856,PO0152490U0002,8.773558840213552,45.57378689030802,20.17414474386003
16,9.168899793477268,45.70800425196687,PO013143NUP001,9.168429816929343,45.70753319647784,63.87858244046234
018(2bis),9.082824564450783,45.70710875312492,PO013064NU0002,9.082579772156986,45.707086977440646,19.215258318463967
0980100003,9.646076906633509,45.18404420108294,PO0980100U0007,9.645651238844446,45.18436981726423,49.28245057030136
0980110001,9.790727449039007,45.10242696245467,PO0980110U0001,9.790719260117049,45.10233820273572,9.885236711523634
0980180001,9.424961318089697,45.374234011684216,PO0980180U0001,9.424940002975596,45.374285863800075,5.999797340626646
0980320002,9.41506733971205,45.301297439228435,PO0980320U0002,9.415212155419807,45.301473353949085,22.61065093490144
PC097020003,9.391617462550563,45.68840417868712,PO0970200U0003,9.391570292009897,45.688282134011416,14.053547329120454
PC097048001,9.398023555564093,45.704394232289545,PO0970480U0001,9.398092889491815,45.70437107786069,5.981312923166919
PO1200200800T0,8.807210552242774,45.74126764062017,PO012002NU0008,8.807205017197962,45.741229132208446,4.301687702108931
PO1202602103T0,8.825364294410088,45.58777183873884,PO012026NU3021,8.825434770924014,45.5878385047091,9.227536768539606
PO1209000903T0,8.713298669833542,45.6050698147296,PO012090NU2009,8.713050565367158,45.60432632285084,84.87089425961447
PO1211800500T0,8.756985614266458,45.6292933239361,PO0121180U0005,8.756785997346258,45.62927043532758,15.772434023685157
